class, interaction
0,a5_4 & a3_2
0,a2_3 & a4_3
0,a3_1 & a5_4 & a6_2
0,a2_3 & a4_2
1,a2_2 & a5_1
1,a5_1 & a2_1
1,a2_1 & a5_2
