class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F11_f & F29_t
nowin,F11_f & F32_t & F18_t & F9_t
nowin,F9_t & F33_t & F21_f
nowin,F33_t & F21_f & F7_t
nowin,F21_f & F6_f & F35_f & F15_n & F1_f & F34_t & F31_f
nowin,F15_n & F21_f & F33_t & F27_t
won,F21_t
won,F10_f & F33_f & F32_f & F35_t & F23_f & F15_n & F12_f
won,F33_f & F32_f & F23_f & F2_f & F10_f & F6_t
won,F32_f & F23_f & F2_f & F10_f & F7_f & F4_f & F24_t & F15_w
