class, interaction
democrat,physician-fee-freeze_n & el-salvador-aid_n & duty-free-exports_y
democrat,physician-fee-freeze_n & synfuels-corporation-cutback_y
republican,physician-fee-freeze_y & synfuels-corporation-cutback_n & education-spending_y & immigration_y
