class, interaction
democrat,physician-fee-freeze_n & el-salvador-aid_n & duty-free-exports_y
democrat,physician-fee-freeze_n & handicapped-infants_y & religious-groups-in-schools_y
republican,physician-fee-freeze_y & synfuels-corporation-cutback_n & adoption-of-the-budget-resolution_n & immigration_y
republican,el-salvador-aid_y & physician-fee-freeze_y & anti-satellite-test-ban_y
