class, interaction
nowin,F21_f & F10_t
nowin,F5_f & F6_f & F32_t & F13_g
nowin,F16_t & F2_f
nowin,F2_f & F32_t & F22_t
nowin,F33_t & F21_f & F18_t & F34_t
nowin,F21_f & F18_t & F34_t & F35_f & F6_f & F1_f & F15_n
won,F21_t
won,F10_f & F33_f & F32_f & F35_t & F23_f & F15_n & F12_f
won,F33_f & F32_f & F23_f & F2_f & F10_f & F6_t
won,F32_f & F23_f & F2_f & F10_f & F7_f & F33_f & F5_f & F15_w
