class, interaction
2,Bare Nuclei_1 & Normal Nucleoli_1 & Uniformity of Cell Size_1
2,Uniformity of Cell Shape_1 & Bare Nuclei_1
4,Bare Nuclei_10 & Mitoses_1
4,Uniformity of Cell Size_10
4,Clump Thickness_10
4,Normal Nucleoli_10
